userAddress,genesisCount,nftId
0xc85681b96d0ba568,2,"25340,25351"
0xc93951027b3f6d12,1,17238
0xc93d81859a97bdb8,2,"26869,27297"
0xc9a98c7c5f2bd8d6,1,18317
0xca888b1496355b0f,2,"15416,17658"
0xcb09cd0f3c24168b,3,"25129,25138,26337"
0xcc153b4162968330,1,14773
0xcd3b0c6c37170989,1,14655
0xcf8ded409faee56f,1,19097
0xd0145c293ce9beef,1,24789
0xd059b1b28a8d3559,1,26851
0xd0aedef0105c8a7c,1,20404
0xd143bed0a6b20a43,1,16888
0xd19460b6ac5e798b,1,26352
0xd27d42932ec6a1b3,4,"18739,19880,20046,30734"
0xd33134622a396cc8,1,26472
0xd38e3dcf05717de4,3,"24437,28897,29563"
0xd444cc044dc919d4,1,26169
0xd446e3fe1f033c86,1,24425
0xd489befe09bdff75,1,29036
0xd6c02c2b10020d3c,1,26175
0xd7d768ba4360f916,1,19831
0xd819343c1aa63823,4,"20997,26174,30305,30389"
0xd81e58e2f8289283,2,"19654,21758"
0xd82d1e2eac51c195,3,"24087,27239,27583"
0x9db5847ea6ed46f1,1,30568
0xd8bd67f8337453c8,1,26659
0xd921be8c7139484b,1,20695
0xd92c1239e93944db,1,26662
0xd97647e02ad2f8fa,1,31093
0xd9a249272b907cec,1,23577
0xd9ceb3206018fe52,1,26306
0xdabebdc67b6eacbd,1,23606
0xdc23ec1b186fcd85,1,28742
0xdd287eb4d5350152,1,20920
0xdd5364ec69712575,1,21398
0xdda0b62fac764149,1,26384
0xdde06182c317838b,1,26407
0xde5f9f626488082c,1,31089
0xdea7881590900766,1,26200
0xdf4809aeec8aa11b,1,20735
0xdf51f91d80607118,2,"22194,22207"
0xe295eb7e16c607cd,1,16033
0xab14eb6adc3203c0,1,26856
0xe3a6f20642129fc5,1,15680
0xe3f776075428adda,1,26848
0xe420f17bc4fe9daf,2,"13814,26688"
0xe4a9d2d70017ea70,1,20513
0xe4b659c751d3c67a,2,"14155,26214"
0xe5728baa7f9f1134,1,26215
0xe760311259642d7c,2,"26457,26842"
0xe8c512959996c615,3,"23277,24372,29432"
0xe8e94655e7cf6892,1,17294
0xe99b00d053b91c37,1,26221
0xe9dac631c8ff2101,1,25446
0xea48a75099ee1d8d,1,30583
0xeb21e59082c62bbc,1,26640
0xeb7dfff0adb0a0b4,2,"18899,19049"
0xec4b3ae1f32b398c,1,26313
0xed1584a37edda888,1,16343
0xedba8b30468cae74,1,27385
0xefe0ad1c9c63f405,1,28553
0xe2ae64647401508c,1,20965
0xf05d11d11d41e9ec,1,24481
0xf20be032d3feb38a,1,26434
0xf2f062c400dbd580,1,25249
0xf30e50a524cebc40,1,16542
0xf33c8d9a86cb0b4b,1,20465
0xf4e8fa3128cee288,1,26240
0xf4fbde85da6471f3,7,"18151,23336,23367,23946,25381,30404,30490"
0xf62f34ca35d1d036,4,"19053,19321,19842,27270"
0xf7a12c5cb48b7d12,1,20352
0xf7f90e9dfc91a295,1,14272
0xf8d1c3f3ec8a36e3,1,22835
0xb0d2b21b609c4f14,34,"15965,16784,16901,17323,17771,17794,20289,21073,22088,22551,22630,22896,23824,23845,24306,24706,24839,24906,25240,25244,25332,25360,25441,26095,27230,27235,27489,27693,27863,27925,28067,28092,30021,30245"
0xf9721298950aaffa,1,26840
0xf9cd45e648fe517f,1,19194
0xf9d10395e73c52c1,1,26872
0xfb677ba534616fbc,1,26260
0xfc97fad01c0259bb,8,"15755,17538,19010,22938,25640,29740,29747,29754"
0xfca360f9ae72b526,1,24078
0xcd40f6bdf17fc534,1,26863
0xfe58b82240482636,1,26755
0xfe6785d91cc0e9eb,1,16896
0xfe7b16c7ae6b4f88,1,26550
0xfebedd2f97777ea7,2,"26857,27330"
0xfecf1cef8f928d87,1,29128
0xfef5ee4111faa8e6,1,26278
0xd855c78b397c0fe4,1,27886
0xfdf0e5734c77eb31,1,26714
0xc2ed0f4f7e8ce078,2,"26855,30540"
0xf9476287775e253e,1,26259
